sptno,sptto,year,totamt,otsramt,gsumtrlct,stlct,cntrdt,stwrdt,ccwdt,gongi
C2002015,8,2008년,9400000000,9400000000,0,0,2008-02-20,2008-02-27,2008-12-23,299.0
C2002015,7,2008년,9000000000,9000000000,0,0,2007-02-22,2007-02-23,2007-12-31,310.0
C2002015,6,2007년,7180000000,7180000000,0,0,2006-02-17,2006-02-20,2007-02-15,359.0
C2002015,5,2006년,11870000000,11870000000,0,0,2005-01-29,2005-02-03,2006-12-31,695.0
C2002015,4,2005년,11788800000,11788800000,0,0,2004-02-10,2004-02-13,2005-12-31,686.0
C2002015,3,2004년,8982800000,8982800000,0,0,2003-01-28,2003-01-29,2004-03-03,398.0
C2002015,2,2003년,3000000000,3000000000,0,0,2002-08-23,2002-08-29,2003-12-22,479.0
C2002015,1,2002년,50000000,50000000,0,0,2002-02-05,2002-02-14,2002-04-14,58.0
C2002015,0,전체,142002000000,138828000000,0,3174000000,2002-02-05,2002-02-14,2013-12-20,4326.0
C2002003,9,2011년,23152000000,22389000000,64000000,699000000,2010-01-22,2010-01-27,2011-01-21,358.0
C2002003,8,2010년,11500000000,11500000000,0,0,2009-01-02,2009-01-06,2009-12-22,349.0
C2002003,7,2008년,5500000000,5500000000,0,0,2008-12-19,2008-02-25,,309.0
C2002003,6,2008년,8993000000,8993000000,0,0,2007-02-21,2007-02-26,2008-02-21,359.0
C2002003,5,2007년,8000000000,8000000000,0,0,2006-02-16,2006-02-25,2007-02-20,359.0
C2002003,4,2006년,7904000000,7904000000,0,0,2005-02-02,2005-02-11,2006-02-06,359.0
C2002003,3,2004년,9399500000,9399500000,0,0,2004-02-11,2004-02-16,2004-12-31,318.0
C2002003,2,2003년,3995000000,3995000000,0,0,2003-02-07,2003-02-12,2003-12-31,321.0
C2002003,13,2015년,5250000000,4541500000,52500000,656000000,2014-06-19,2014-06-19,2015-03-31,284.0
C2002003,12,2014년,11460000000,9450000000,60000000,1950000000,2013-02-20,2013-02-25,2014-05-31,459.0
C2002003,11,2013년,10518000000,8846000000,80000000,1592000000,2012-02-08,2012-02-08,2013-05-31,477.0
C2002003,10,2012년,5232000000,4996000000,4000000,232000000,2011-02-16,2011-02-16,2012-02-16,364.0
C2002003,1,2003년,500000000,500000000,0,0,2002-12-30,2002-12-30,2003-12-31,365.0
C2002003,0,전체,92050000000,92050000000,0,0,2002-12-30,2002-12-30,2015-03-31,4473.0
C2007038,9,2014년,4661000000,4624000000,37000000,0,2014-03-17,2014-03-17,2014-12-30,287.0
C2007038,8,2014년,11000000000,10877000000,123000000,0,2013-02-21,2013-03-05,2014-09-09,552.0
C2007038,7,2013년,10300000000,10288000000,12000000,0,2012-02-08,2012-02-08,2013-08-30,568.0
C2007038,6,2012년,8000000000,5754000000,246000000,2000000000,2011-02-16,2011-02-16,2012-02-10,358.0
C2007038,5,2011년,8000000000,7900000000,100000000,0,2010-01-27,2010-01-27,2011-01-21,358.0
C2007038,4,2010년,6789000000,5148000000,5000000,1636000000,2009-01-06,2009-01-08,2009-12-31,356.0
C2007038,3,2009년,4754000000,2000000000,0,2754000000,2008-02-18,2008-02-25,2008-12-31,309.0
C2007038,2,2008년,674000000,100000000,0,574000000,2007-10-17,2007-10-22,2007-12-31,69.0
C2007038,11,2016년,10628270000,9188270000,1440000000,0,2016-01-18,2016-01-18,2016-12-31,347.0
C2007038,10,2015년,12990000000,12844000000,146000000,0,2015-01-21,2015-01-22,2015-12-31,342.0
C2007038,1,2007년,4730000,4730000,0,0,2007-04-27,2007-05-03,2007-10-22,171.0
C2007038,0,전체,88281730000,76893000000,6024730000,5364000000,2007-04-27,2007-05-03,2016-12-31,3529.0
C1997010,6,2005년,156176000000,156176000000,0,0,2001-02-12,2001-02-12,,1690.0
C1997010,5,2000년,23318000000,23318000000,0,0,2000-02-16,2000-02-18,,314.0
C1997010,4,1999년,18611000000,18611000000,0,0,1999-01-29,1999-02-02,,329.0
C1997010,3,1998년,16000000000,16000000000,0,0,1998-03-13,1998-03-16,,281.0
C1997010,2,1998년,2000000000,2000000000,0,0,1997-06-21,1997-06-25,,308.0
C1997010,1,1997년,50000000,50000000,0,0,1997-03-04,1997-03-11,,294.0
C1997010,0,전체,216155000000,216155000000,0,0,1997-03-04,1997-03-11,2005-09-30,3124.0
C2007079,3,2017년,101758000000,86262000000,0,15496000000,2012-12-26,2008-12-30,2017-12-15,3271.0
C2007079,2,2008년,2500000000,1000000000,0,1500000000,2008-02-18,2008-02-22,2009-01-22,334.0
C2007079,1,2007년,3050000000,20000000,0,3030000000,2007-10-29,2007-11-05,2007-12-31,55.0
C2007079,0,전체,107308000000,87282000000,0,20026000000,2007-10-29,2007-11-05,2017-12-15,3692.0
C2022008,1,2022년,100000000,100000000,0,0,2022-01-21,2022-02-07,2022-05-07,88.0
C2022008,0,전체,179438635940,78680616940,21570019000,79188000000,2022-01-21,2022-02-07,2029-02-04,2553.0
C2001027,4,년,4443000000,3880000000,563000000,0,,,,
