ofccd,ofcnm,rutcd,rutnm,fctkdcd,fctkdnm,fctcfcd,fctcfnm,fcno,fctnm,sectnm,lctnm,ccwdt,cstcmpnm,cwknm
12,의정부국토관리사무소,12006,일반국도6호선,1,교량,0,기타,E673B64273241C52E034080020A9316A,백동육교,양평~용문,경기도 양평군 양평읍 백안리,1999-11-30,현대중공업,양평~용문 확-포장공사
12,의정부국토관리사무소,12006,일반국도6호선,1,교량,3,3종,E673B64273231C52E034080020A9316A,백석육교,양평~용문,경기도 양평군 양평읍 백안리,1999-11-30,현대중공업,양평~용문 확-포장공사
12,의정부국토관리사무소,12006,일반국도6호선,1,교량,0,기타,E673B64273221C52E034080020A9316A,공흥육교,옥천~양평,경기도 양평군 양평읍 공흥리,1999-11-30,현대중공업,
12,의정부국토관리사무소,12006,일반국도6호선,1,교량,0,기타,E673B642732A1C52E034080020A9316A,백안2육교,양평~용문,경기도 양평군 양평읍 대흥리,1999-11-30,현대중공업,양평~용문 확-포장공사
12,의정부국토관리사무소,12006,일반국도6호선,1,교량,0,기타,E673B6425EBF1C52E034080020A9316A,신흥육교,양평~용문,경기도 양평군 양평읍 대흥리,1999-11-30,현대중공업,양평~용문 확-포장공사
12,의정부국토관리사무소,12037,일반국도37호선,1,교량,1,1종,E673B642732C1C52E034080020A9316A,신백의교,창수~청산,경기도 포천시 창수면 고소성리,1999-11-30,㈜태영건설,
12,의정부국토관리사무소,12037,일반국도37호선,1,교량,1,1종,E673B642732B1C52E034080020A9316A,신진군교,창수~청산,경기도 포천시 창수면 주원리,1999-11-30,㈜태영건설,
12,의정부국토관리사무소,12006,일반국도6호선,1,교량,2,2종,E673B64273271C52E034080020A9316A,삼성교(상),양평~용문,경기도 양평군 용문면 삼성리,1999-11-30,현대중공업,양평~용문 확-포장공사
12,의정부국토관리사무소,12006,일반국도6호선,1,교량,2,2종,E673B64273281C52E034080020A9316A,삼성교(하),양평~용문,경기도 양평군 용문면 삼성리,1999-11-30,현대중공업,양평~용문 확-포장공사
12,의정부국토관리사무소,12006,일반국도6호선,1,교량,3,3종,E673B642731D1C52E034080020A9316A,덕평1교,옥천~양평,경기도 양평군 양평읍 덕평리,1999-11-30,현대중공업,양평~용문 확-포장공사
55,진영국토관리사무소,55024,일반국도24호선,1,교량,0,기타,E673B64276E31C52E034080020A9316A,용전육교,밀양 산내~울주 상북,경상남도 밀양시 산내면 용전리,1999-11-26,삼정건설외 2개사,산내우회도로 축조공사
54,영주국토관리사무소,54035,일반국도35호선,1,교량,2,2종,E673B642728E1C52E034080020A9316A,새터교,도산~명호,경상북도 안동시 도산면 동부리,1999-11-17,(주)효성 동양종건(주,
31,논산국토관리사무소,31023,일반국도23호선,1,교량,0,기타,EF7BAF8838DD4c7683C54734CBA2A552,산동2교,논산~논산,충청남도 논산시 광석면 산동리,1999-11-01,삼성물산주식회사,
21,홍천국토관리사무소,21006,일반국도6호선,1,교량,3,3종,E673B642745C1C52E034080020A9316A,왕래교,서원~공근,강원도 횡성군 서원면 유현리,1999-11-01,(주)창원,
53,포항국토관리사무소,53031,일반국도31호선,1,교량,0,기타,E673B6426AAE1C52E034080020A9316A,상정2육교,동해~흥해,경상북도 포항시 남구 동해면 상정리,1999-11-01,현대건설(주),구룡포-포항간 도로4차선 확포장공사
12,의정부국토관리사무소,12037,일반국도37호선,1,교량,0,기타,E673B64273251C52E034080020A9316A,군자교,창수~청산,경기도 포천시 창수면 주원리,1999-10-30,주식회사태영,
52,진주국토관리사무소,52002,일반국도2호선,1,교량,2,2종,E673B6426FDD1C52E034080020A9316A,삼계교,사천 곤명면계~진주 내동면계,경상남도 진주시 내동면 삼계리,1999-10-20,(주)영신사,
12,의정부국토관리사무소,12046,일반국도46호선,1,교량,2,2종,61FD4ED7AFF71951E0440003BA816705,사능2교,진관~금곡,경기도 남양주시 진건읍 사능리,1999-10-16,"(주)한진중공업,영도건설산업(주),(주)해영",
12,의정부국토관리사무소,12046,일반국도46호선,1,교량,0,기타,61FD3EE2976517B6E0440003BA816705,사능1교,진관~금곡,경기도 남양주시 진건읍 사능리,1999-10-16,"(주)한진중공업,영도건설산업(주),(주)해영",
12,의정부국토관리사무소,12046,일반국도46호선,1,교량,3,3종,61FD56B9248B1A11E0440003BA816705,사능IC교,진관~금곡,경기도 남양주시 진건읍 사능리,1999-10-16,"(주)한진중공업,영도건설산업(주),(주)해영",
12,의정부국토관리사무소,12046,일반국도46호선,1,교량,1,1종,61FD361FB3D3176BE0440003BA816705,사능철도육교,진관~금곡,경기도 남양주시 진건읍 사능리,1999-10-16,"(주)한진중공업,영도건설산업(주),(주)해영",
12,의정부국토관리사무소,12045,일반국도45호선,1,교량,3,3종,E673B64272A71C52E034080020A9316A,마진교,조안~화도,경기도 남양주시 조안면 진중리,1999-10-10,㈜용우종합건설,
